,DEPT,GRGC,NPRL,DEN,FE,DDLLDS,DSLLDS,SPCGds,DTC,"Sample
No.",PERM,Comments,PhiDSS,PhieN,PhiAvgSS,VCLGR,VCLND,ResRatio,ResRatio2
99,849.5,,,,,,,,,,,,,,,,,,
100,850.0,,,,,,,,,,,,,,,,,,
101,850.5,,,,,,,,,,,,,,,,,,
102,851.0,,,,,,,,,,,,,,,,,,
103,851.5,,,,,,,,,,,,,,,,,,
104,852.0,,,,,,,,,,,,,,,,,,
105,852.5,,,,,,,,,,,,,,,,,,
106,853.0,,,,,,,,,,,,,,,,,,
107,853.5,,,,,,,,,,,,,,,,,,
108,854.0,,,,,,,,,,,,,,,,,,
109,854.5,,,,,,,,,,,,,,,,,,
110,855.0,,,,,,,,,,,,,,,,,,
111,855.5,,,,,,,,,,,,,,,,,,
112,856.0,,,,,,,,,,,,,,,,,,
113,856.5,,,,,,,,,,,,,,,,,,
114,857.0,,,,,,,,,,,,,,,,,,
115,857.5,,,,,,,,,,,,,,,,,,
116,858.0,,,,,,,,,,,,,,,,,,
117,858.5,,,,,,,,,,,,,,,,,,
118,859.0,,,,,,,,,,,,,,,,,,
119,859.5,,,,,,,,,,,,,,,,,,
120,860.0,,,,,,,,,,,,,,,,,,
121,860.5,,,,,,,,,,,,,,,,,,
122,861.0,,,,,,,,,,,,,,,,,,
123,861.5,,,,,,,,,,,,,,,,,,
124,862.0,,,,,,,,,,,,,,,,,,
125,862.5,,,,,,,,,,,,,,,,,,
126,863.0,,,,,,,,,,,,,,,,,,
127,863.5,,,,,,,,,,,,,,,,,,
128,864.0,,,,,,,,,,,,,,,,,,
129,864.5,,,,,,,,,,,,,,,,,,
130,865.0,,,,,,,,,,,,,,,,,,
131,865.5,,,,,,,,,,,,,,,,,,
132,866.0,,,,,,,,,,,,,,,,,,
133,866.5,,,,,,,,,,,,,,,,,,
134,867.0,,,,,,,,,,,,,,,,,,
135,867.5,,,,,,,,,,,,,,,,,,
136,868.0,,,,,,,,,,,,,,,,,,
137,868.5,,,,,,,,,,,,,,,,,,
138,869.0,,,,,,,,,,,,,,,,,,
139,869.5,,,,,,,,,,,,,,,,,,
140,870.0,,,,,,,,,,,,,,,,,,
141,870.5,,,,,,,,,,,,,,,,,,
142,871.0,,,,,,,,,,,,,,,,,,
143,871.5,,,,,,,,,,,,,,,,,,
144,872.0,,,,,,,,,,,,,,,,,,
145,872.5,,,,,,,,,,,,,,,,,,
146,873.0,,,,,,,,,,,,,,,,,,
147,873.5,,,,,,,,,,,,,,,,,,
148,874.0,,,,,,,,,,,,,,,,,,
149,874.5,,,,,,,,,,,,,,,,,,
150,875.0,,,,,,,,,,,,,,,,,,
151,875.5,,,,,,,,,,,,,,,,,,
152,876.0,,,,,,,,,,,,,,,,,,
153,876.5,,,,,,,,,,,,,,,,,,
154,877.0,,,,,,,,,,,,,,,,,,
155,877.5,,,,,,,,,,,,,,,,,,
156,878.0,,,,,,,,,,,,,,,,,,
157,878.5,,,,,,,,,,,,,,,,,,
158,879.0,,,,,,,,,,,,,,,,,,
159,879.5,,,,,,,,,,,,,,,,,,
160,880.0,,,,,,,,,,,,,,,,,,
161,880.5,,,,,,,,,,,,,,,,,,
162,881.0,,,,,,,,,,,,,,,,,,
163,881.5,,,,,,,,,,,,,,,,,,
164,882.0,,,,,,,,,,,,,,,,,,
165,882.5,,,,,,,,,,,,,,,,,,
166,883.0,,,,,,,,,,,,,,,,,,
167,883.5,,,,,,,,,,,,,,,,,,
168,884.0,,,,,,,,,,,,,,,,,,
169,884.5,,,,,,,,,,,,,,,,,,
170,885.0,,,,,,,,,,,,,,,,,,
171,885.5,,,,,,,,,,,,,,,,,,
172,886.0,,,,,,,,,,,,,,,,,,
173,886.5,,,,,,,,,,,,,,,,,,
174,887.0,,,,,,,,,,,,,,,,,,
175,887.5,,,,,,,,,,,,,,,,,,
176,888.0,,,,,,,,,,,,,,,,,,
177,888.5,,,,,,,,,,,,,,,,,,
178,889.0,,,,,,,,,,,,,,,,,,
179,889.5,,,,,,,,,,,,,,,,,,
180,890.0,,,,,,,,,,,,,,,,,,
181,890.5,,,,,,,,,,,,,,,,,,
182,891.0,,,,,,,,,,,,,,,,,,
183,891.5,,,,,,,,,,,,,,,,,,
184,892.0,,,,,,,,,,,,,,,,,,
185,892.5,,,,,,,,,,,,,,,,,,
186,893.0,,,,,,,,,,,,,,,,,,
187,893.5,,,,,,,,,,,,,,,,,,
188,894.0,,,,,,,,,,,,,,,,,,
189,894.5,,,,,,,,,,,,,,,,,,
190,895.0,,,,,,,,,,,,,,,,,,
191,895.5,,,,,,,,,,,,,,,,,,
192,896.0,,,,,,,,,,,,,,,,,,
193,896.5,,,,,,,,,,,,,,,,,,
194,897.0,,,,,,,,,,,,,,,,,,
195,897.5,,,,,,,,,,,,,,,,,,
196,898.0,,,,,,,,,,,,,,,,,,
197,898.5,,,,,,,,,,,,,,,,,,
198,899.0,,,,,,,,,,,,,,,,,,
199,899.5,,,,,,,,,,,,,,,,,,
200,900.0,,,,,,,,,,,,,,,,,,
201,900.5,,,,,,,,,,,,,,,,,,
202,901.0,,,,,,,,,,,,,,,,,,
203,901.5,,,,,,,,,,,,,,,,,,
204,902.0,,,,,,,,,,,,,,,,,,
205,902.5,,,,,,,,,,,,,,,,,,
206,903.0,,,,,,,,,,,,,,,,,,
207,903.5,,,,,,,,,,,,,,,,,,
208,904.0,,,,,,,,,,,,,,,,,,
209,904.5,,,,,,,,,,,,,,,,,,
210,905.0,,,,,,,,,,,,,,,,,,
211,905.5,,,,,,,,,,,,,,,,,,
212,906.0,,,,,,,,,,,,,,,,,,
213,906.5,,,,,,,,,,,,,,,,,,
214,907.0,,,,,,,,,,,,,,,,,,
215,907.5,,,,,,,,,,,,,,,,,,
216,908.0,,,,,,,,,,,,,,,,,,
217,908.5,,,,,,,,,,,,,,,,,,
218,909.0,,,,,,,,,,,,,,,,,,
219,909.5,,,,,,,,,,,,,,,,,,
220,910.0,,,,,,,,,,,,,,,,,,
221,910.5,,,,,,,,,,,,,,,,,,
222,911.0,,,,,,,,,,,,,,,,,,
223,911.5,,,,,,,,,,,,,,,,,,
224,912.0,,,,,,,,,,,,,,,,,,
225,912.5,,,,,,,,,,,,,,,,,,
226,913.0,,,,,,,,,,,,,,,,,,
227,913.5,,,,,,,,,,,,,,,,,,
228,914.0,,,,,,,,,,,,,,,,,,
229,914.5,,,,,,,,,,,,,,,,,,
230,915.0,,,,,,,,,,,,,,,,,,
231,915.5,,,,,,,,,,,,,,,,,,
232,916.0,,,,,,,,,,,,,,,,,,
233,916.5,,,,,,,,,,,,,,,,,,
234,917.0,,,,,,,,,,,,,,,,,,
235,917.5,,,,,,,,,,,,,,,,,,
236,918.0,,,,,,,,,,,,,,,,,,
237,918.5,,,,,,,,,,,,,,,,,,
238,919.0,,,,,,,,,,,,,,,,,,
239,919.5,,,,,,,,,,,,,,,,,,
240,920.0,,,,,,,,,,,,,,,,,,
241,920.5,,,,,,,,,,,,,,,,,,
242,921.0,,,,,,,,,,,,,,,,,,
243,921.5,,,,,,,,,,,,,,,,,,
244,922.0,,,,,,,,,,,,,,,,,,
245,922.5,,,,,,,,,,,,,,,,,,
246,923.0,,,,,,,,,,,,,,,,,,
247,923.5,,,,,,,,,,,,,,,,,,
248,924.0,,,,,,,,,,,,,,,,,,
249,924.5,,,,,,,,,,,,,,,,,,
250,925.0,,,,,,,,,,,,,,,,,,
251,925.5,,,,,,,,,,,,,,,,,,
252,926.0,,,,,,,,,,,,,,,,,,
253,926.5,,,,,,,,,,,,,,,,,,
254,927.0,,,,,,,,,,,,,,,,,,
255,927.5,,,,,,,,,,,,,,,,,,
256,928.0,,,,,,,,,,,,,,,,,,
257,928.5,,,,,,,,,,,,,,,,,,
258,929.0,,,,,,,,,,,,,,,,,,
259,929.5,,,,,,,,,,,,,,,,,,
260,930.0,,,,,,,,,,,,,,,,,,
261,930.5,,,,,,,,,,,,,,,,,,
262,931.0,,,,,,,,,,,,,,,,,,
263,931.5,,,,,,,,,,,,,,,,,,
264,932.0,,,,,,,,,,,,,,,,,,
265,932.5,,,,,,,,,,,,,,,,,,
266,933.0,,,,,,,,,,,,,,,,,,
267,933.5,,,,,,,,,,,,,,,,,,
268,934.0,,,,,,,,,,,,,,,,,,
269,934.5,,,,,,,,,,,,,,,,,,
270,935.0,,,,,,,,,,,,,,,,,,
271,935.5,,,,,,,,,,,,,,,,,,
272,936.0,,,,,,,,,,,,,,,,,,
273,936.5,,,,,,,,,,,,,,,,,,
274,937.0,,,,,,,,,,,,,,,,,,
275,937.5,,,,,,,,,,,,,,,,,,
276,938.0,,,,,,,,,,,,,,,,,,
277,938.5,,,,,,,,,,,,,,,,,,
278,939.0,,,,,,,,,,,,,,,,,,
279,939.5,,,,,,,,,,,,,,,,,,
280,940.0,,,,,,,,,,,,,,,,,,
281,940.5,,,,,,,,,,,,,,,,,,
282,941.0,,,,,,,,,,,,,,,,,,
283,941.5,,,,,,,,,,,,,,,,,,
284,942.0,,,,,,,,,,,,,,,,,,
285,942.5,,,,,,,,,,,,,,,,,,
286,943.0,,,,,,,,,,,,,,,,,,
287,943.5,,,,,,,,,,,,,,,,,,
288,944.0,,,,,,,,,,,,,,,,,,
289,944.5,,,,,,,,,,,,,,,,,,
290,945.0,,,,,,,,,,,,,,,,,,
291,945.5,,,,,,,,,,,,,,,,,,
292,946.0,,,,,,,,,,,,,,,,,,
293,946.5,,,,,,,,,,,,,,,,,,
294,947.0,,,,,,,,,,,,,,,,,,
295,947.5,,,,,,,,,,,,,,,,,,
296,948.0,,,,,,,,,,,,,,,,,,
297,948.5,,,,,,,,,,,,,,,,,,
298,949.0,,,,,,,,,,,,,,,,,,
299,949.5,,,,,,,,,,,,,,,,,,
300,950.0,,,,,,,,,,,,,,,,,,
