,DEPT,CAL1IN,CAL2IN,CDTF,GRP,ILD,ILM,ITT,SFLA,GRGC_x,DT35_x,CLYC,DSLL,DDLL_x,CLXC_x,RILS,RILM,RILD,NPRL,DEN_x,CoreNo,MD,PERM_H,PERM_V,PORO,Bdensity,GrainDensity,PhiDSS,PhieN,PhiAvgSS,VCLGR,ResRatio,GRGC_y,GCGR,BIT,CLXC_y,Neut,DEN_y,MRRS,DDLL_y,DT35_y,Phie,PhiT,BVW,BVWsxo,VClay,VCLND,ResRatio2
8356,4195.5,,,,,,,,,64.399389,73.569567,15.517296,21.220885,106.725982,15.572367,38.135385,59.470414,59161.36816,0.08726383,2.485843,,,,,,,,0.09948909090909085,0.12726383,0.11337646045454541,0.27171992413793106,1.453634754606341,64.0462,66.0381,12.25,15.4812,0.0755,2.4933,5.6057,108.5785,73.4872,0.0978,0.098,0.0934,0.0934,0.0038,0.1096866175000002,1.7770505032163466
8357,4196.0,,,,,,,,,60.702323,73.869712,15.525863,21.173295,107.163085,15.57771,38.234729,62.861181,76426.26597,0.08515803,2.488689,,,,,,,,0.09776424242424242,0.12515803,0.11146113621212121,0.24622291724137932,1.5050762542429028,59.4474,64.1455,12.25,15.4896,0.0735,2.4962,5.5145,108.7429,73.76,0.0962,0.0964,0.0933,0.0933,0.0024,0.10779456750000008,1.7814778945624712
8358,4196.5,,,,,,,,,59.604956,74.154098,15.533069,21.205272,108.079085,15.582144,38.378945,68.011183,100116.3389,0.08505125,2.496673,,,,,,,,0.09292545454545455,0.12505125,0.10898835227272727,0.23865486896551724,1.520622873979307,57.4465,63.6975,12.25,15.4998,0.0734,2.5043,5.3726,109.4807,74.0631,0.0916,0.0923,0.0916,0.0916,0.013,0.11553831250000006,1.7665216711157021
8359,4197.0,,,,,,,,,59.880766,74.310229,15.540837,21.413547,110.440412,15.59063,38.465965,66.88482,133156.3325,0.08705173999999999,2.498557,,,,,,,,0.09178363636363636,0.12705174,0.10941768818181818,0.24055700689655174,1.5173608704225516,57.6871,64.2097,12.25,15.5052,0.0753,2.5062,5.3593,110.7788,74.2368,0.0904,0.0914,0.0904,0.0904,0.0207,0.12192341500000005,1.7543898138668754
8360,4197.5,,,,,,,,,60.026948,74.36357,15.545095,21.63235,112.37172,15.59584,38.528296,67.436372,177096.3244,0.09018962999999999,2.492382,,,,,,,,0.0955260606060605,0.13018963,0.11285784530303025,0.24156515862068964,1.5157149072248854,57.9262,63.8355,12.25,15.5089,0.0782,2.4999,5.3293,113.1576,74.3408,0.094,0.0949,0.0915,0.0915,0.0198,0.12280866750000027,1.7530470735504644
8361,4198.0,,,,,,,,,59.025637,74.47152,15.555996,22.124441,115.834155,15.603706,38.620959,66.669414,231052.0294,0.09264304,2.482904,,,,,,,,0.10127030303030299,0.13264304,0.11695667151515149,0.2346595655172414,1.5297977764500381,58.0947,62.3082,12.25,15.5154,0.0804,2.4902,5.1486,116.1466,74.4099,0.0991,0.0998,0.0903,0.0912,0.0142,0.11885084000000017,1.7612816009124443
8362,4198.5,,,,,,,,,57.598817,74.556334,15.56422,22.409017,117.530286,15.606801,38.756548,65.748339,299346.5854,0.09408341,2.47726,,,,,,,,0.10469090909090917,0.13408341000000001,0.11938715954545459,0.22481942758620688,1.5496802532367182,56.4353,60.1584,12.25,15.5223,0.0817,2.4845,4.769,118.8104,74.4998,0.1027,0.1031,0.0893,0.0948,0.0084,0.11644767249999995,1.7663285734374639
8363,4199.0,,,,,,,,,55.059904,74.770835,15.581279,22.727707,118.976019,15.610525,38.808418,65.754792,378775.2429,0.09504219000000001,2.473484,,,,,,,,0.10697939393939389,0.13504219,0.12101079196969694,0.20730968275862072,1.5848302908056153,54.6864,58.736,12.25,15.5295,0.0826,2.4807,4.5232,120.5815,74.649,0.1051,0.1053,0.0886,0.0973,0.0044,0.11482892750000022,1.7697275944089998
8364,4199.5,,,,,,,,,52.963823,74.895001,15.590983,22.821616,119.581432,15.613187,38.833342,64.037877,472327.2221,0.09583166,2.463614,,,,,,,,0.11296121212121196,0.13583166,0.12439643606060598,0.1928539517241379,1.6138544261395913,52.4835,56.1467,12.25,15.5338,0.0833,2.4707,4.2862,121.3095,74.8702,0.1093,0.1093,0.0884,0.0999,0.0,0.10673523500000034,1.7860451621973241
8365,4200.0,,,,,,,,,49.205616,74.781143,15.604163,22.992514,121.525414,15.621333,38.828853,65.246285,555522.5106,0.09613111,2.45047,,,,,,,,0.12092727272727259,0.13613111,0.1285291913636363,0.16693528275862068,1.6657381056437697,49.0876,52.3506,12.25,15.5363,0.0836,2.4573,3.9191,122.4458,74.8441,0.1134,0.1134,0.0879,0.1045,0.0,0.09426499750000032,1.8110445395834185
