CoreNo,MD,MDShifted,PERM_H,PERM_V,PORO,Bdensity,GrainDensity
4,4025.08,4033.0,2987.6,2237.5,12.6,2.43,2.64
4,4026.1,4034.0,4314.7,,14.1,2.41,2.64
4,4027.07,4035.0,1614.0,,12.1,2.44,2.64
4,4028.06,4036.0,1114.9,,10.7,2.46,2.64
4,4029.03,4036.1,449.5,584.5,11.8,2.45,2.64
4,4029.11,4037.1,1066.7,,12.8,2.43,2.64
4,4031.05,4038.1,1330.2,,11.3,2.46,2.64
4,4032.04,4039.1,1060.2,879.8,11.6,2.45,2.64
4,4033.04,4040.1,1007.3,1386.7,11.0,2.46,2.64
4,4035.09,4043.0,471.1,,10.3,2.47,2.64
4,4037.05,4044.1,674.8,,11.2,2.46,2.64
4,4038.02,4045.1,1488.2,1542.1,11.7,2.45,2.64
