DEPTH,CPERM,CPOR,RQI,PHIZ,FZI,Facies,PHIE,RESD,RESM,RESS,WELL
3394,,,,,,3,0.053,34.303,35.904,31.648,wb7
3394.5,0.01,0.07,0.01,0.07,0.13,3,0.052,33.623,35.521,26.282,wb7
3395,,,,,,3,0.064,33.072,35.204,23.521,wb7
3395.5,0.03,0.09,0.02,0.10,0.18,3,0.077,33.701,35.981,26.666,wb7
3396,,,,,,3,0.072,35.477,37.974,38.395,wb7
3396.5,0.02,0.08,0.02,0.08,0.20,3,0.075,37.330,39.987,33.709,wb7
3397,,,,,,3,0.064,39.068,41.755,26.048,wb7
3397.5,0.01,0.10,0.01,0.11,0.11,3,0.049,42.444,44.268,29.325,wb7
3398,,,,,,3,0.075,48.373,47.166,42.808,wb7
3398.5,,,,,,5,0.116,55.138,49.088,11.983,wb7
3399,,,,,,7,0.159,58.304,48.780,5.841,wb7
3399.5,286.91,0.17,1.29,0.20,6.37,8,0.168,54.805,45.661,4.760,wb7
3400,265.51,0.16,1.28,0.19,6.77,8,0.166,48.100,41.655,3.990,wb7
3400.5,,,,,,8,0.165,45.112,40.880,4.156,wb7
3401,,,,,,8,0.158,49.035,45.382,7.058,wb7
3401.5,,,,,,8,0.150,58.509,53.915,9.473,wb7
3402,21.46,0.13,0.41,0.15,2.82,8,0.133,67.813,61.878,13.128,wb7
3402.5,43.63,0.14,0.55,0.16,3.42,8,0.117,70.086,63.670,17.186,wb7
3403,,,,,,7,0.102,63.671,58.538,13.410,wb7
3403.5,132.98,0.13,1.01,0.15,6.81,5,0.110,54.423,51.469,13.729,wb7
3404,,,,,,4,0.111,48.062,47.236,14.354,wb7
3404.5,6.71,0.14,0.22,0.16,1.34,4,0.106,45.479,46.958,30.773,wb7
3405,,,,,,4,0.071,45.408,50.060,50.010,wb7
3405.5,0.01,0.06,0.01,0.07,0.16,4,0.028,45.429,53.929,44.396,wb7
3406,,,,,,4,0.020,43.096,54.324,31.655,wb7
3406.5,,,,,,4,0.039,37.346,48.589,33.509,wb7
3407,,,,,,0,0.053,30.548,39.557,12.610,wb7
3407.5,0.00,0.06,0.01,0.07,0.13,0,0.086,26.099,32.626,9.569,wb7
3408,99.64,0.14,0.84,0.16,5.25,4,0.093,25.259,29.986,28.010,wb7
3408.5,,,,,,4,0.053,27.419,30.637,41.630,wb7
3409,,,,,,4,0.073,30.856,32.588,18.249,wb7
3409.5,,,,,,4,0.109,33.395,34.183,11.816,wb7
3410,,,,,,4,0.117,34.765,35.160,14.454,wb7
3410.5,0.24,0.10,0.05,0.11,0.42,4,0.102,36.537,36.802,19.398,wb7
3411,,,,,,4,0.099,39.427,39.627,21.740,wb7
3411.5,0.16,0.09,0.04,0.10,0.39,4,0.107,42.077,42.102,24.982,wb7
3412,,,,,,4,0.119,42.861,42.410,23.652,wb7
3412.5,,,,,,4,0.123,41.925,40.660,20.801,wb7
3413,1.38,0.13,0.10,0.15,0.68,4,0.126,40.787,38.565,22.315,wb7
3413.5,,,,,,4,0.121,40.522,37.480,24.614,wb7
3414,0.14,0.11,0.03,0.13,0.27,4,0.111,41.151,37.606,28.715,wb7
3414.5,,,,,,4,0.106,42.290,38.584,36.668,wb7
3415,,,,,,3,0.094,43.500,39.763,33.322,wb7
3415.5,0.03,0.08,0.02,0.08,0.25,3,0.082,43.934,40.173,35.148,wb7
3416,,,,,,3,0.078,43.211,39.301,34.210,wb7
3416.5,,,,,,3,0.081,41.490,37.404,30.776,wb7
3417,,,,,,3,0.082,39.648,35.270,21.045,wb7
3417.5,0.15,0.10,0.04,0.11,0.37,4,0.084,38.282,33.521,21.581,wb7
3418,,,,,,4,0.089,37.653,32.501,25.693,wb7
3418.5,0.20,0.09,0.05,0.10,0.46,4,0.093,38.106,32.377,23.175,wb7
3419,,,,,,4,0.091,39.149,32.789,21.535,wb7
3419.5,,,,,,4,0.097,40.540,33.401,20.799,wb7
3420,,,,,,4,0.107,42.119,34.178,19.390,wb7
3420.5,0.91,0.10,0.09,0.11,0.85,5,0.109,43.585,34.983,19.649,wb7
3421,,,,,,5,0.108,44.681,35.542,20.510,wb7
3421.5,0.99,0.09,0.10,0.10,1.05,5,0.109,45.722,36.012,18.243,wb7
3422,,,,,,5,0.112,46.771,36.541,16.925,wb7
3422.5,1.41,0.09,0.12,0.10,1.16,5,0.109,47.761,37.171,21.378,wb7
3423,,,,,,5,0.108,49.097,38.299,22.391,wb7
3423.5,,,,,,6,0.108,50.567,40.017,21.630,wb7
3424,,,,,,5,0.109,50.487,41.044,22.681,wb7
3424.5,0.20,0.08,0.05,0.09,0.59,5,0.113,47.191,39.718,21.437,wb7
3425,,,,,,4,0.122,41.783,36.402,16.420,wb7
3425.5,0.56,0.15,0.06,0.17,0.36,4,0.124,37.120,33.171,14.150,wb7
3426,,,,,,4,0.116,34.738,31.542,14.791,wb7
3426.5,0.13,0.12,0.03,0.13,0.25,4,0.109,34.939,32.091,19.846,wb7
3427,,,,,,4,0.080,36.673,34.366,29.220,wb7
3427.5,0.02,0.10,0.01,0.12,0.13,0,0.000,38.123,36.697,26.485,wb7
3428,,,,,,0,0.000,38.061,37.452,27.020,wb7
3428.5,0.10,0.13,0.03,0.16,0.17,3,0.075,36.919,36.653,31.229,wb7
3429,,,,,,3,0.062,36.115,35.728,28.872,wb7
3429.5,0.01,0.07,0.01,0.07,0.12,3,0.048,37.471,36.609,32.413,wb7
3430,,,,,,0,0.045,41.575,40.247,44.544,wb7
3430.5,0.01,0.04,0.02,0.05,0.37,3,0.048,46.767,44.984,54.212,wb7
3431,,,,,,3,0.053,49.121,47.091,32.154,wb7
3431.5,0.21,0.12,0.04,0.14,0.30,3,0.079,46.169,44.307,21.764,wb7
3432,,,,,,4,0.090,39.939,38.358,17.516,wb7
3432.5,0.22,0.11,0.05,0.12,0.38,4,0.101,34.409,33.037,16.414,wb7
3433,,,,,,4,0.101,32.490,30.990,21.182,wb7
3433.5,0.29,0.09,0.06,0.10,0.53,4,0.105,33.577,31.999,24.297,wb7
3434,,,,,,4,0.103,35.834,34.188,26.140,wb7
3434.5,,,,,,4,0.102,37.261,35.555,22.112,wb7
3435,0.32,0.12,0.05,0.13,0.38,4,0.104,37.165,35.338,19.988,wb7
3435.5,,,,,,4,0.111,36.493,34.384,18.176,wb7
3436,,,,,,4,0.107,36.890,34.247,19.851,wb7
3436.5,1.38,0.11,0.11,0.12,0.97,4,0.108,39.373,35.980,26.328,wb7
3437,,,,,,4,0.113,44.110,39.743,31.083,wb7
3437.5,,,,,,4,0.109,49.297,44.295,36.105,wb7
3438,,,,,,4,0.105,53.013,47.741,33.706,wb7
3438.5,,,,,,4,0.103,54.108,48.792,30.217,wb7
3439,0.32,0.09,0.06,0.10,0.59,4,0.102,53.153,47.919,26.578,wb7
3439.5,0.09,0.09,0.03,0.09,0.35,4,0.095,52.247,47.010,30.859,wb7
3440,,,,,,4,0.076,52.922,47.614,41.277,wb7
3440.5,,,,,,4,0.059,54.717,49.844,48.920,wb7
3441,0.05,0.08,0.02,0.08,0.30,4,0.069,56.264,52.666,53.335,wb7
3441.5,,,,,,4,0.069,55.731,54.352,43.912,wb7
3442,,,,,,4,0.081,52.376,53.352,34.472,wb7
3442.5,,,,,,4,0.084,45.963,48.247,30.703,wb7
3443,,,,,,4,0.107,37.688,39.931,17.661,wb7
3443.5,0.04,0.08,0.02,0.08,0.27,4,0.134,30.745,32.174,10.215,wb7
3444,0.08,0.10,0.03,0.12,0.24,4,0.132,27.693,28.205,15.372,wb7
3444.5,,,,,,4,0.118,29.031,28.910,25.343,wb7
3445,,,,,,4,0.108,34.222,33.776,32.199,wb7
3445.5,,,,,,4,0.089,41.522,41.232,42.379,wb7
3446,,,,,,4,0.072,48.430,48.635,41.456,wb7
3446.5,,,,,,4,0.069,52.189,52.740,66.278,wb7
3447,,,,,,3,0.085,52.102,52.419,40.165,wb7
3447.5,,,,,,4,0.089,49.997,49.723,27.909,wb7
3448,,,,,,4,0.087,47.467,46.713,31.334,wb7
3448.5,,,,,,4,0.085,44.615,43.502,38.074,wb7
3449,,,,,,4,0.085,41.712,40.403,33.877,wb7
3449.5,,,,,,4,0.085,38.625,37.474,28.236,wb7
3450,,,,,,4,0.085,35.380,34.486,20.052,wb7
3360,,,,,,1,0.000,20.379,34.599,29.612,wb4
3360.5,,,,,,1,0.000,20.006,33.616,33.030,wb4
3361,,,,,,1,0.000,19.302,32.547,35.234,wb4
3361.5,,,,,,1,0.000,18.667,30.980,44.059,wb4
3362,,,,,,4,0.047,18.665,27.080,55.094,wb4
3362.5,,,,,,4,0.042,18.665,23.754,24.099,wb4
3363,,,,,,5,0.041,18.838,22.443,22.652,wb4
3363.5,0.05,0.04,0.03,0.04,0.78,5,0.041,19.227,23.495,29.837,wb4
3364,,,,,,5,0.043,19.604,26.237,28.096,wb4
3364.5,0.02,0.06,0.02,0.06,0.33,5,0.047,20.207,29.847,25.071,wb4
3365,,,,,,5,0.048,20.918,31.839,27.475,wb4
3365.5,0.84,0.09,0.09,0.10,0.92,5,0.048,22.119,35.556,38.610,wb4
3366,,,,,,5,0.105,23.953,37.928,34.513,wb4
3366.5,0.59,0.09,0.08,0.10,0.78,5,0.093,25.525,38.284,26.760,wb4
3367,,,,,,5,0.096,28.470,38.285,23.723,wb4
3367.5,0.68,0.10,0.08,0.11,0.70,5,0.097,31.495,38.285,36.195,wb4
3368,,,,,,5,0.096,33.204,38.638,33.971,wb4
3368.5,0.58,0.10,0.08,0.11,0.71,5,0.090,34.923,41.756,35.890,wb4
3369,,,,,,5,0.086,36.224,49.110,70.223,wb4
3369.5,0.65,0.10,0.08,0.11,0.74,5,0.086,37.583,57.395,59.053,wb4
3370,,,,,,5,0.089,38.283,57.946,51.259,wb4
3370.5,0.33,0.06,0.07,0.06,1.18,5,0.086,38.743,49.332,44.494,wb4
3371,,,,,,5,0.082,39.356,42.385,41.221,wb4
