DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
1361.5,9.26,,,2.49,0,137.23,0.28,3.79,0,0.03,8.51,9.07,6.62,100.49,538.24,0.99,0.7,0
1362,9.27,,,2.48,0,138.22,0.31,3.78,0,0.04,8.12,8.66,5.78,101,537.66,0.99,0.77,0
1362.5,9.24,,,2.48,0,139.9,0.32,3.71,0,0.03,7.87,8.34,5.6,101.31,537.33,0.99,0.81,0
1363,9.25,,,2.5,0,141.54,0.31,3.31,0,0.02,7.71,8.11,5.79,101.38,537.27,0.99,0.82,0
1363.5,9.24,,,2.5,0,141.41,0.32,3.29,0,0.02,7.62,7.99,6.6,101.19,538.04,0.99,0.82,0
1364,9.23,,,2.5,0,140.14,0.35,3.45,0,0.04,7.58,7.93,6.23,100.84,539,0.99,0.81,0
1364.5,9.23,,,2.49,0,139.18,0.34,3.05,0,0.04,7.57,7.94,5.97,100.54,539.32,0.99,0.8,0
1365,9.23,,,2.49,0,140.13,0.33,2.83,0,0.03,7.69,8.12,6.38,100.42,539.46,0.99,0.81,0
1365.5,9.23,,,2.48,0,142.25,0.3,3.56,0,0.04,7.83,8.39,6.51,100.46,539.57,0.99,0.76,0
1366,9.22,,,2.49,0,142.56,0.34,3.43,0,0.03,7.88,8.52,6.26,100.43,539.32,0.99,0.83,0
1366.5,9.22,,,2.49,0,139.67,0.36,2.93,0,0.05,7.99,8.48,6.51,100.11,538.88,0.99,0.81,0
1367,9.2,,,2.48,0,135.66,0.34,3.34,0,0.05,8.07,8.45,6.69,99.49,538.53,0.99,0.77,0
1367.5,9.18,,,2.49,0,133.77,0.33,3.28,0,0.05,8.2,8.55,6.81,98.78,538.69,0.99,0.75,0
1368,9.18,,,2.49,0,134.35,0.35,3.11,0,0.06,8.43,8.78,6.3,98.3,539.58,0.99,0.76,0
1368.5,9.18,,,2.48,0,135.66,0.33,3.06,0,0.05,8.65,9,6.35,98.35,540.27,0.99,0.77,0
1369,9.16,,,2.48,0,136.64,0.31,3.09,0,0.04,8.73,9.1,7.51,98.91,540.2,0.99,0.77,0
1369.5,9.15,,,2.47,0,138.05,0.34,3.36,0,0.05,8.65,9.02,8.14,99.69,540.05,0.99,0.79,0
1370,9.14,,,2.46,0,138.41,0.35,3.52,0,0.05,8.48,8.82,7.2,100.34,540.59,0.99,0.8,0
1370.5,9.16,,,2.46,0,136.98,0.33,3.54,0,0.05,8.33,8.62,6.63,100.71,541.39,0.99,0.78,0
1371,9.15,,,2.47,0,136.37,0.34,3.48,0,0.05,8.29,8.56,6.84,100.88,541.49,0.99,0.78,0
1371.5,9.15,,,2.46,0,138.25,0.35,3.61,0,0.05,8.32,8.66,6.93,100.96,540.85,0.99,0.8,0
1372,9.15,,,2.46,0,140.16,0.33,4.02,0,0.04,8.34,8.75,7.29,100.89,540.66,0.99,0.81,0
1372.5,9.15,,,2.46,0,141.83,0.3,3.86,0,0.05,8.28,8.71,7.04,100.55,541.22,0.99,0.74,0
1373,9.13,,,2.48,0,142.83,0.33,3.2,0,0.03,8.25,8.69,7.28,100,541.39,0.99,0.83,0
1373.5,9.14,,,2.48,0,141.33,0.32,3.05,0,0.03,8.31,8.79,7.07,99.49,541.04,0.99,0.82,0
1374,9.13,,,2.49,0,138.9,0.32,3.08,0,0.03,8.44,8.98,6.56,99.4,541.21,0.99,0.8,0
1374.5,9.14,,,2.49,0,138.53,0.35,3.26,0,0.05,8.53,9.12,6.96,99.94,541.6,0.99,0.8,0
1375,9.13,,,2.48,0,139.49,0.34,3.62,0,0.04,8.41,9.06,7.26,101.07,541.07,0.99,0.81,0
1375.5,9.12,,,2.49,0,140.45,0.34,3.39,0,0.04,8.03,8.72,7.12,102.55,539.8,0.99,0.81,0
1376,9.13,,,2.48,0,142.2,0.36,3.34,0,0.04,7.54,8.18,6.36,103.96,538.9,0.99,0.83,0
1376.5,9.13,,,2.47,0,145.21,0.38,3.33,0,0.02,7.08,7.64,5.5,104.78,539,0.99,0.86,0
1377,9.11,,,2.47,0,148.32,0.35,3.2,0,0.01,6.75,7.26,5.42,104.65,540.2,0.99,0.89,0
1377.5,9.11,,,2.47,0,148.27,0.37,3.23,0,0.01,6.68,7.16,5.44,103.56,541.47,0.99,0.89,0
1378,9.1,,,2.47,0,143.88,0.42,3.4,0,0.03,6.87,7.36,5.73,102.02,541.97,0.99,0.85,0
1378.5,9.1,,,2.46,0,138.65,0.35,3.44,0,0.05,7.21,7.76,5.97,100.73,541.98,0.99,0.81,0
1379,9.09,,,2.47,0,136.53,0.3,3.43,0,0.05,7.66,8.27,6.64,100.17,541.95,0.99,0.74,0
1379.5,9.11,,,2.47,0,137.97,0.3,3.44,0,0.04,8.04,8.72,7.7,100.24,541.77,0.99,0.73,0
1380,9.11,,,2.46,0,140.69,0.32,3.47,0,0.04,8.26,8.99,8.14,100.51,542.27,0.99,0.8,0
1380.5,9.12,,,2.47,0,141.16,0.33,3.48,0,0.04,8.33,9.07,7.72,100.59,543.76,0.99,0.83,0
1381,9.12,,,2.48,0,139,0.33,3.53,0,0.04,8.28,9.02,7.02,100.42,544.75,0.99,0.81,0
1381.5,9.11,,,2.48,0,136.55,0.35,3.53,0,0.05,8.22,8.95,7.28,99.99,544.36,0.99,0.79,0
1382,9.15,,,2.46,0,134.82,0.34,3.56,0,0.05,8.18,8.9,6.96,99.26,543.9,0.99,0.77,0
1382.5,9.14,,,2.48,0,133.2,0.29,3.17,0,0.04,8.26,8.92,6.93,98.1,544.14,0.99,0.73,0
1383,9.12,,,2.5,0,131.18,0.3,2.98,0,0.03,8.5,9.12,7.34,96.55,544.31,0.99,0.74,0
1383.5,9.13,,,2.5,0,127.7,0.3,3.25,0,0.04,8.99,9.59,7.13,94.91,544.24,0.99,0.71,0
1384,9.12,,,2.48,0,122.68,0.29,3.46,0,0.05,9.6,10.24,8.78,93.69,544.38,0.99,0.67,0
1384.5,9.13,,,2.49,0,119.06,0.31,3.13,0,0.06,10.22,10.93,10.18,93.3,544.63,0.99,0.64,0
1385,9.08,,,2.49,0,119.55,0.34,3.01,0,0.08,10.61,11.21,8.39,93.82,544.77,0.99,0.65,0
1385.5,9.1,,,2.47,0,123.19,0.29,3.28,0,0.05,10.61,10.56,7.77,94.97,545.14,0.99,0.68,0
1386,9.11,,,2.47,0,126.63,0.29,3.24,0,0.04,10.3,9.79,7.59,96.23,545.99,0.99,0.7,0
1386.5,9.12,,,2.48,0,129.27,0.34,3.23,0,0.06,9.86,9.74,7.57,97.15,547.1,0.99,0.73,0
1387,9.13,,,2.47,0,130.7,0.31,3.22,0,0.05,9.48,9.99,6.89,97.5,547.75,0.99,0.74,0
1387.5,9.13,,,2.46,0,129.84,0.29,3.16,0,0.05,9.19,9.89,6.63,97.13,547.76,0.99,0.71,0
1388,9.12,,,2.47,0,127.23,0.3,3.07,0,0.05,9.08,9.79,7.43,95.71,547.53,0.99,0.71,0
1388.5,9.12,,,2.46,0,123.75,0.28,2.94,0,0.06,9.21,9.87,7.33,93.1,547.5,0.99,0.65,0
1389,9.12,,,2.44,0,118.14,0.27,2.96,0,0.07,9.73,10.31,6.79,89.81,547.82,0.99,0.6,0
1389.5,9.14,,,2.44,1,111.27,0.24,2.94,0,0.08,10.85,11.4,7.2,87.02,548.72,0.99,0.52,0
1390,9.12,,,2.45,1,107.15,0.24,2.95,0,0.07,12.36,13.02,9.54,86.08,549.79,0.99,0.54,0
1390.5,9.13,,,2.44,1,107.86,0.25,3.07,0,0.08,13.57,14.42,14.86,87.45,550.16,0.99,0.53,0
1391,9.13,,,2.44,1,111.09,0.25,3.28,0,0.08,13.84,14.84,11.28,90.24,549.77,0.99,0.54,0
1391.5,9.13,,,2.45,0,113.01,0.28,3.21,0,0.07,13.13,14.17,8.48,92.93,549.89,0.99,0.59,0
1392,9.13,,,2.45,0,113.1,0.26,3.14,0,0.07,12.09,13.02,8.55,94.39,550.81,0.99,0.58,0
1392.5,9.13,,,2.44,0,113.75,0.27,2.94,0,0.07,11.41,12.2,8.8,94.47,551.4,0.99,0.6,0
1393,9.13,,,2.43,0,115.09,0.28,2.97,0,0.08,11.35,12.06,8.25,93.75,551.38,0.99,0.61,0
1393.5,9.13,,,2.42,0,115.71,0.31,3.22,0,0.09,11.57,12.31,8.87,92.94,551.61,0.99,0.61,0
1394,9.16,,,2.43,0,115.67,0.29,3.24,0,0.08,11.93,12.65,10.01,92.35,551.92,0.99,0.61,0
1394.5,9.15,,,2.45,0,115.1,0.29,3.2,0,0.07,12.12,12.9,9.2,92.04,551.95,0.99,0.61,0
1395,9.16,,,2.45,0,114.48,0.28,3.18,0,0.07,12.14,12.97,10.54,92.01,551.86,0.99,0.6,0
1395.5,9.16,,,2.44,0,115.13,0.29,3.21,0,0.08,12,12.88,10.22,92.32,551.72,0.99,0.61,0
1396,9.18,,,2.42,0,116.53,0.29,3.29,0,0.08,11.85,12.78,8.39,92.93,551.84,0.99,0.62,0
1396.5,9.18,,,2.43,0,117.64,0.28,3.32,0,0.07,11.69,12.61,8.2,93.68,552.52,0.99,0.62,0
1397,9.18,,,2.45,0,118.62,0.29,3.36,0,0.07,11.41,12.3,8.12,94.28,552.9,0.99,0.64,0
1397.5,9.16,,,2.47,0,119.04,0.31,3.43,0,0.07,11.23,12.05,7.6,94.55,552.58,0.99,0.64,0
1398,9.14,,,2.46,0,119.26,0.33,3.44,0,0.08,11.24,11.99,8.28,94.6,552.33,0.99,0.64,0
1398.5,9.13,,,2.46,0,119.91,0.31,3.46,0,0.07,11.43,12.14,9.83,94.56,552.22,0.99,0.65,0
1399,9.14,,,2.44,0,119.95,0.29,3.38,0,0.07,11.68,12.39,8.98,94.5,552.13,0.99,0.65,0
1399.5,9.13,,,2.44,0,119.04,0.3,3.36,0,0.07,11.86,12.55,8.42,94.33,552.65,0.99,0.64,0
1400,9.13,,,2.44,0,118.49,0.31,3.34,0,0.08,11.87,12.58,8.62,93.99,553.55,0.99,0.64,0
1400.5,9.12,,,2.45,0,118.44,0.31,3.31,0,0.08,11.88,12.63,8.84,93.55,553.45,0.99,0.64,0
1401,9.14,,,2.43,0,117.24,0.31,3.2,0,0.08,12.02,12.78,8.31,93.09,552.16,0.99,0.63,0
1401.5,9.14,,,2.42,0,113.92,0.3,3.42,0,0.09,12.27,12.97,8.37,92.61,550.44,0.99,0.6,0
1402,9.13,,,2.42,0,109.2,0.34,3.85,0,0.11,12.53,13.21,8.77,92.07,548.98,0.99,0.56,0
1402.5,9.12,,,2.44,1,104.76,0.31,3.27,0,0.1,12.8,13.49,9.21,91.55,548.28,0.99,0.52,0
1403,9.12,,,2.46,1,101.96,0.28,2.92,0,0.09,13.11,13.81,8.94,91.33,548.3,0.99,0.5,0
1403.5,9.12,,,2.45,1,101.43,0.27,3.02,0,0.09,13.31,14.04,10.22,91.71,548.39,0.99,0.5,0
1404,9.11,,,2.44,1,103.6,0.28,3.44,0,0.09,13.21,13.98,10.42,92.82,548.03,0.99,0.51,0
1404.5,9.12,,,2.45,0,108.47,0.27,3.3,0,0.08,12.66,13.51,8.07,94.56,547.29,0.99,0.55,0
1405,9.13,,,2.46,0,115.69,0.29,3.41,0,0.07,11.67,12.59,8.25,96.64,546.39,0.99,0.61,0
1405.5,9.12,,,2.48,0,124.29,0.34,3.42,0,0.07,10.34,11.29,7.89,98.7,545.45,0.99,0.69,0
1406,9.13,,,2.48,0,132.46,0.34,3.56,0,0.05,8.95,9.84,6.64,100.37,544.7,0.99,0.75,0
1406.5,9.11,,,2.49,0,137.11,0.35,3.47,0,0.04,7.8,8.57,5.89,101.42,544.69,0.99,0.79,0
1407,9.11,,,2.48,0,136.76,0.39,3.52,0,0.07,7.05,7.7,5.52,101.83,544.82,0.99,0.79,0
1407.5,9.12,,,2.48,0,133.6,0.37,3.57,0,0.06,6.76,7.32,5.45,101.8,544.33,0.99,0.76,0
1408,9.13,,,2.47,0,130.22,0.34,3.59,0,0.05,6.84,7.36,6.43,101.6,543.69,0.99,0.74,0
1408.5,9.13,,,2.48,0,128.35,0.36,3.58,0,0.07,7.08,7.7,6.99,101.37,543.63,0.99,0.72,0
1409,9.12,,,2.48,0,128.33,0.39,3.58,0,0.08,7.37,8.22,6.7,101.02,543.71,0.99,0.72,0
1409.5,9.11,,,2.47,0,127.9,0.33,3.59,0,0.06,7.57,8.57,6.79,100.43,543.42,0.99,0.72,0
1410,9.1,,,2.47,0,125.35,0.35,3.56,0,0.07,7.79,8.63,6.87,99.67,543.04,0.99,0.69,0
1410.5,9.11,,,2.48,0,121.48,0.38,3.57,0,0.09,8.11,8.72,7.37,98.83,543.07,0.99,0.66,0
1411,9.11,,,2.47,0,118.73,0.33,3.7,0,0.08,8.58,9.1,7.4,97.93,543.26,0.99,0.64,0
1411.5,9.12,,,2.46,0,119.43,0.34,4.07,0,0.08,9.05,9.57,8.03,96.87,543.37,0.99,0.65,0
1412,9.11,,,2.47,0,121.86,0.31,3.49,0,0.06,9.46,9.95,7.95,95.51,543.57,0.99,0.67,0
1412.5,9.12,,,2.48,0,121.45,0.28,2.91,0,0.05,9.82,10.12,7.34,94,543.9,0.99,0.66,0
1413,9.14,,,2.47,0,117.89,0.31,3.39,0,0.07,10.22,9.97,8.02,92.72,544.35,0.99,0.63,0
1413.5,9.16,,,2.46,0,114.6,0.32,3.52,0,0.08,10.65,10.03,8.62,92.05,545.01,0.99,0.61,0
1414,9.16,,,2.45,0,113,0.27,3.26,0,0.07,11.06,10.71,7.99,92.08,545.84,0.99,0.59,0
1414.5,9.16,,,2.45,0,113.2,0.27,3.12,0,0.07,11.31,11.46,7.86,92.65,546.24,0.99,0.59,0
1415,9.16,,,2.46,0,117.32,0.27,2.97,0,0.06,11.26,11.58,8.18,93.39,545.72,0.99,0.61,0
1415.5,9.16,,,2.46,0,125.3,0.3,3,0,0.05,11.02,11.3,8.28,93.88,544.71,0.99,0.69,0
1416,9.17,,,2.47,0,131.17,0.33,3.39,0,0.05,10.67,10.95,7.65,93.92,544.15,0.99,0.74,0
1416.5,9.15,,,2.47,0,129.11,0.29,3.6,0,0.05,10.32,10.62,7.61,93.63,544.14,0.99,0.68,0
1417,9.15,,,2.48,0,120.78,0.3,3.56,0,0.05,10.16,10.42,7.78,93.53,544.31,0.99,0.66,0
1417.5,9.15,,,2.48,0,113.54,0.3,3.54,0,0.07,10.31,10.54,7.52,94.11,544.74,0.99,0.6,0
1418,9.14,,,2.48,0,112.34,0.32,3.51,0,0.08,10.48,10.76,8.17,95.47,545.14,0.99,0.59,0
1418.5,9.14,,,2.49,0,116.22,0.27,3.49,0,0.05,10.37,10.73,7.54,97.08,545.11,0.99,0.62,0
1419,9.13,,,2.49,0,120.16,0.3,3.42,0,0.05,9.9,10.31,7.57,98.22,544.52,0.99,0.65,0
1419.5,9.09,,,2.49,0,121.64,0.34,3.32,0,0.07,9.19,9.63,7.7,98.56,543.79,0.99,0.66,0
1420,9.1,,,2.49,0,121.18,0.33,3.16,0,0.07,8.49,8.9,6.95,98.32,543.2,0.99,0.66,0
1420.5,9.11,,,2.49,0,119.04,0.32,3.19,0,0.07,8.02,8.39,7.06,98.01,543.16,0.99,0.64,0
1421,9.12,,,2.5,0,116.09,0.32,3.4,0,0.07,7.89,8.24,6.32,97.92,543.65,0.99,0.62,0
1421.5,9.12,,,2.5,0,114.65,0.36,3.37,0,0.1,7.94,8.32,6.71,97.94,543.89,0.99,0.61,0
1422,9.12,,,2.48,0,116.03,0.34,3.57,0,0.08,8.04,8.47,7.48,97.95,543.34,0.99,0.62,0
1422.5,9.12,,,2.46,0,118.78,0.31,3.55,0,0.07,8.19,8.73,6.46,98.12,543.05,0.99,0.64,0
1423,9.13,,,2.46,0,120.87,0.32,3.53,0,0.07,8.38,9.06,6.47,98.89,543.61,0.99,0.66,0
1423.5,9.13,,,2.47,0,121.94,0.33,3.39,0,0.07,8.52,9.26,7.21,100.58,543.98,0.99,0.67,0
1424,9.13,,,2.48,0,123.17,0.34,3.34,0,0.07,8.39,9.13,7.46,102.96,543.24,0.99,0.68,0
1424.5,9.12,,,2.48,0,125,0.37,3.31,0,0.08,7.91,8.62,6.28,105.22,542.02,0.99,0.69,0
1425,9.13,,,2.48,0,127.13,0.41,3.34,0,0.1,7.19,7.84,5.2,106.38,541.53,0.99,0.71,0
1425.5,9.11,,,2.48,0,129.16,0.46,3.32,0,0.09,6.45,7.01,4.98,105.97,542.22,0.99,0.73,0
1426,9.12,,,2.49,0,129.65,0.39,3.32,0,0.08,5.99,6.45,4.8,104.23,543.18,0.99,0.73,0
1426.5,9.11,,,2.49,0,126.95,0.41,3.33,0,0.09,6.01,6.36,4.66,101.94,543.41,0.99,0.71,0
1427,9.1,,,2.5,0,122.41,0.37,3.31,0,0.08,6.41,6.75,5.49,99.89,542.98,0.99,0.67,0
1427.5,9.1,,,2.51,0,119.07,0.32,3.21,0,0.06,7.04,7.68,7.46,98.43,542.58,0.99,0.64,0
1428,9.11,,,2.49,0,118.17,0.29,3.24,0,0.05,7.65,8.75,8.8,97.33,542.76,0.99,0.63,0
1428.5,9.11,,,2.48,0,118.75,0.28,3.6,0,0.06,8.1,9.25,6.57,96.18,543.5,0.99,0.64,0
1429,9.1,,,2.48,0,118.71,0.31,3.58,0,0.06,8.35,9.12,6.41,95.07,544.14,0.99,0.64,0
1429.5,9.09,,,2.48,0,116.94,0.33,3.74,0,0.08,8.54,9.03,8.28,94.66,543.81,0.99,0.62,0
1430,9.07,,,2.5,0,115.19,0.32,3.74,0,0.07,8.93,9.4,7.84,95.79,542.8,0.99,0.61,0
1430.5,9.05,,,2.5,0,116.12,0.32,3.63,0,0.07,9.26,9.79,8.13,98.66,542.21,0.99,0.62,0
1431,9.07,,,2.51,0,120.25,0.3,3.24,0,0.05,8.96,9.55,11.11,102.43,542.4,0.99,0.65,0
1431.5,9.07,,,2.51,0,125.77,0.31,3.04,0,0.04,8.06,8.6,7.41,105.81,542.74,0.99,0.7,0
1432,9.07,,,2.49,0,130,0.34,2.98,0,0.06,6.9,7.37,4.64,107.97,542.67,0.99,0.73,0
1432.5,9.07,,,2.5,0,131.24,0.35,2.94,0,0.05,5.95,6.34,4.15,108.76,542.68,0.99,0.74,0
1433,9.07,,,2.5,0,130.41,0.33,3.23,0,0.04,5.37,5.68,4.12,108.54,543.25,0.99,0.74,0
1433.5,9.07,,,2.49,0,129.44,0.34,3.3,0,0.05,5.15,5.4,4.14,107.69,543.38,0.99,0.73,0
1434,9.07,,,2.5,0,129.12,0.35,3.42,0,0.06,5.11,5.34,4.5,106.45,542.85,0.99,0.73,0
1434.5,9.05,,,2.5,0,128.95,0.38,3.45,0,0.07,5.2,5.42,4.75,105.15,542.47,0.99,0.72,0
1435,9.06,,,2.5,0,128.21,0.37,3.46,0,0.07,5.44,5.69,4.79,104.33,542.32,0.99,0.72,0
1435.5,9.06,,,2.5,0,126.83,0.42,3.23,0,0.09,5.76,6.17,5.65,104.4,542.29,0.99,0.71,0
1436,9.06,,,2.5,0,126.35,0.37,3.16,0,0.08,6.02,6.56,6.01,105.33,542.53,0.99,0.7,0
1436.5,9.05,,,2.5,0,127.61,0.35,3.5,0,0.06,6.06,6.57,5.11,106.7,542.69,0.99,0.71,0
1437,9.06,,,2.5,0,130.51,0.35,3.55,0,0.06,5.84,6.25,4.53,108.03,542.58,0.99,0.74,0
1437.5,9.07,,,2.48,0,133.8,0.34,3.59,0,0.05,5.49,5.84,4.42,108.99,542.62,0.99,0.77,0
1438,9.07,,,2.48,0,136.59,0.35,3.65,0,0.05,5.17,5.49,4.24,109.45,543.25,0.99,0.79,0
1438.5,9.06,,,2.47,0,138.83,0.36,3.87,0,0.05,4.98,5.26,4.3,109.39,544.33,0.99,0.81,0
1439,9.06,,,2.47,0,140.56,0.43,3.86,0,0.08,4.89,5.09,4.21,108.83,544.85,0.99,0.82,0
1439.5,9.08,,,2.46,0,141.26,0.34,3.47,0,0.05,4.9,4.99,4.09,107.9,544.4,0.99,0.8,0
1440,9.06,,,2.46,0,140.73,0.32,3.5,0,0.05,5.05,5.09,4.41,106.88,543.63,0.99,0.77,0
1440.5,9.05,,,2.47,0,139.87,0.36,3.45,0,0.05,5.29,5.38,4.9,106.1,543.32,0.99,0.82,0
1441,9.04,,,2.48,0,139.37,0.38,3.37,0,0.05,5.58,5.73,5.02,105.85,543.47,0.99,0.81,0
1441.5,9.03,,,2.49,0,139.38,0.38,3.28,0,0.05,5.83,6.05,5.2,106.15,543.67,0.99,0.81,0
1442,9.03,,,2.49,0,139.23,0.36,3.34,0,0.04,5.97,6.28,5.76,106.8,543.85,0.99,0.81,0
1442.5,9.03,,,2.49,0,138.14,0.36,3.47,0,0.05,5.97,6.35,5.41,107.52,544.08,0.99,0.8,0
1443,9.03,,,2.49,0,136.94,0.37,3.5,0,0.05,5.9,6.27,5.04,108.15,544.19,0.99,0.79,0
1443.5,9.02,,,2.5,0,137.37,0.35,3.51,0,0.04,5.77,6.13,4.98,108.69,544.5,0.99,0.79,0
1444,9.03,,,2.5,0,138.66,0.33,3.47,0,0.03,5.65,5.99,4.93,109.21,545.17,0.99,0.81,0
1444.5,9.04,,,2.49,0,138.88,0.36,3.36,0,0.05,5.52,5.86,4.69,109.71,545.63,0.99,0.81,0
1445,9.06,,,2.48,0,137.25,0.38,3.92,0,0.06,5.4,5.75,4.49,109.92,545.81,0.99,0.79,0
1445.5,9.05,,,2.47,0,135.6,0.44,4.16,0,0.09,5.3,5.65,4.61,109.38,546.08,0.99,0.78,0
1446,9.05,,,2.48,0,135.85,0.42,3.68,0,0.08,5.23,5.57,4.72,107.69,546.43,0.99,0.78,0
1446.5,9.05,,,2.49,0,136.72,0.39,3.06,0,0.06,5.23,5.55,4.65,104.9,547.01,0.99,0.79,0
1447,9.05,,,2.48,0,135.35,0.39,3.43,0,0.07,5.39,5.69,4.72,101.52,547.76,0.99,0.78,0
1447.5,9.05,,,2.48,0,131.34,0.36,3.52,0,0.06,5.77,6.13,5.11,98.23,548.24,0.99,0.74,0
1448,9.05,,,2.48,0,127.24,0.3,3.39,0,0.05,6.41,6.85,6.05,95.56,548.61,0.99,0.71,0
1448.5,9.03,,,2.49,0,125.1,0.28,3.28,0,0.04,7.18,7.65,7.07,93.8,549.3,0.99,0.66,0
1449,9.02,,,2.49,0,125.36,0.29,3.15,0,0.04,7.98,8.41,6.79,93.01,549.77,0.99,0.69,0
1449.5,9.03,,,2.49,0,126.76,0.28,3.07,0,0.04,8.61,9.11,6.6,93,550.27,0.99,0.69,0
1450,9.02,,,2.48,0,128.78,0.28,3.11,0,0.05,8.98,9.55,7.89,93.21,551.28,0.99,0.66,0
1450.5,9.01,,,2.49,0,130.65,0.27,3.11,0,0.04,9.06,9.6,7.95,92.89,552.22,0.99,0.64,0
1451,9.03,,,2.48,0,130.47,0.28,3.14,0,0.05,9.02,9.49,6.67,91.47,552.31,0.99,0.65,0
1451.5,9.03,,,2.47,0,127.65,0.27,3.08,0,0.05,9.08,9.49,6.65,88.92,552.32,0.99,0.63,0
1452,9.03,,,2.47,0,123.52,0.28,3.08,0,0.05,9.51,9.79,7.66,85.79,552.86,0.99,0.64,0
1452.5,9.05,,,2.46,0,117.9,0.25,3.03,0,0.07,10.45,10.61,8.48,82.95,553.37,0.99,0.55,0
1453,9.04,,,2.46,1,110.3,0.21,2.99,0,0.07,11.98,12.09,7.91,81.28,553.46,0.99,0.45,0
1453.5,9.02,,,2.44,1,103.26,0.21,3.24,0,0.09,13.89,13.99,9.7,81.37,553.51,0.99,0.41,0
1454,9.03,,,2.43,2,100.43,0.2,3.39,0,0.1,15.75,15.87,12.88,83.26,553.6,0.99,0.35,0
1454.5,9.04,,,2.43,2,102.65,0.21,3.28,0,0.09,16.87,17.18,11.85,86.46,553.42,0.99,0.4,0
1455,9.04,,,2.45,2,108.54,0.24,3.3,0,0.07,16.78,17.33,9.69,90.04,553.43,0.99,0.51,0
1455.5,9.03,,,2.48,0,116.28,0.28,3.37,0,0.06,15.25,16.06,9.19,93.02,553.83,0.99,0.62,0
1456,9.01,,,2.5,0,123.74,0.31,3.46,0,0.05,13.3,14.14,9.46,94.88,553.96,0.99,0.68,0
1456.5,9.01,,,2.49,0,129.68,0.31,3.47,0,0.04,11.62,12.39,8.87,95.72,554,0.99,0.73,0
1457,9.01,,,2.47,0,132.41,0.3,3.42,0,0.05,10.49,11.22,7.98,95.96,554.4,0.99,0.72,0
1457.5,9.01,,,2.47,0,131.86,0.31,3.41,0,0.05,10.04,10.71,7.48,96,554.56,0.99,0.72,0
1458,9,,,2.47,0,131.01,0.32,3.53,0,0.05,10.04,10.66,8.72,95.89,554.2,0.99,0.74,0
1458.5,9,,,2.47,0,131.19,0.32,3.71,0,0.05,10.17,10.75,9.72,95.45,553.78,0.99,0.74,0
1459,9,,,2.48,0,131.96,0.31,3.68,0,0.04,10.26,10.84,8.53,94.6,553.4,0.99,0.75,0
1459.5,9,,,2.47,0,133.05,0.33,3.63,0,0.05,10.23,10.87,8.14,93.49,553.01,0.99,0.76,0
1460,9.01,,,2.47,0,133.78,0.31,3.56,0,0.04,10.25,10.89,8.8,92.41,552.83,0.99,0.75,0
1460.5,9,,,2.48,0,133.76,0.29,3.47,0,0.05,10.33,10.93,9.2,91.55,552.6,0.99,0.69,0
1461,8.99,,,2.49,0,132.92,0.26,3.2,0,0.05,10.55,11.03,8.5,90.96,552.27,0.99,0.61,0
1461.5,8.99,,,2.47,0,130.97,0.27,3.1,0,0.06,10.67,11.03,8.44,90.7,551.95,0.99,0.61,0
1462,8.99,,,2.45,0,128.73,0.26,3.21,0,0.07,10.67,10.99,8.5,90.86,551.9,0.99,0.57,0
1462.5,8.99,,,2.46,0,127.35,0.26,3.43,0,0.07,10.51,10.94,7.88,91.62,552.09,0.99,0.57,0
1463,8.97,,,2.48,0,126.32,0.28,3.47,0,0.05,10.25,10.8,7.45,93,552.2,0.99,0.66,0
1463.5,8.96,,,2.49,0,126.06,0.3,3.46,0,0.04,9.9,10.44,7.25,94.44,552.1,0.99,0.7,0
1464,8.96,,,2.48,0,128.23,0.31,3.75,0,0.05,9.41,9.88,7.29,94.94,551.8,0.99,0.72,0
1464.5,8.95,,,2.48,0,131.75,0.32,3.91,0,0.04,8.86,9.26,6.94,93.87,551.07,0.99,0.75,0
1465,8.94,,,2.5,0,133.16,0.32,3.83,0,0.03,8.44,8.8,6.42,91.75,550.28,0.99,0.76,0
1465.5,8.94,,,2.5,0,131.42,0.29,3.82,0,0.03,8.49,8.88,6.68,90.13,549.82,0.99,0.72,0
1466,8.93,,,2.52,0,129.75,0.28,3.78,0,0.02,8.91,9.46,7.45,90.47,549.41,0.99,0.73,0
1466.5,8.92,,,2.54,0,130.88,0.27,3.45,0,0.01,9.26,9.92,10.86,92.77,549.06,0.99,0.71,0
1467,8.94,,,2.53,0,135.22,0.28,3.58,0,0.01,9.07,9.68,11.04,95.63,548.7,0.99,0.74,0
1467.5,8.95,,,2.51,0,140.88,0.33,3.62,0,0.02,8.34,8.85,6.68,97.61,548.34,0.99,0.82,0
1468,8.94,,,2.52,0,144.29,0.35,3.64,0,0.02,7.45,7.9,6.04,98.3,548.47,0.99,0.85,0
1468.5,8.95,,,2.53,0,144.15,0.34,3.52,0,0.01,6.87,7.24,5.68,98.24,548.77,0.99,0.85,0
1469,8.95,,,2.54,0,143.55,0.34,3.37,0,0.01,6.76,7.11,5.42,98.16,548.5,0.99,0.85,0
1469.5,8.94,,,2.51,0,144.9,0.35,3.26,0,0.02,6.95,7.32,5.81,98.3,548.17,0.99,0.86,0
1470,8.95,,,2.51,0,147.41,0.36,3.01,0,0.02,7.25,7.65,6.63,98.49,548.15,0.99,0.88,0
