DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
735.5,,,,2.14,,64.87,0.56,15.75,,,,,0.43,,556.71,,,
736,,,,2.16,,63.77,0.43,15.77,,,,,0.39,,556.02,,,
736.5,,,,2.19,,62.37,0.41,15.88,,,,,0.32,,555.06,,,
737,,,,2.18,,61.57,0.44,15.94,,,,,0.46,,554.25,,,
737.5,,,,2.19,,62.01,0.48,16.04,,,,,0.7,,554.1,,,
738,,,,2.19,,63.25,0.49,16.06,,,,,0.29,,554.16,,,
738.5,,,,2.2,,64.28,0.45,16.06,,,,,0.21,,553.71,,,
739,,,,2.18,,64.59,0.48,16.22,,,,,0.23,,552.34,,,
739.5,,,,2.13,,64.58,0.42,16.26,,,,,0.33,,550.99,,,
740,,,,2.13,,64.68,0.42,16.27,,,,,0.4,,550.74,,,
740.5,,,,2.15,,65.77,0.42,16.16,,,,,0.4,,551.43,,,
741,,,,2.17,,67.93,0.48,16.1,,,,,0.44,,551.85,,,
741.5,,,,2.16,,69.8,0.57,16.09,,,,,0.58,,551.27,,,
742,,,,2.16,,70.69,0.65,16.26,,,,,0.76,,549.91,,,
742.5,,,,2.15,,70.53,0.7,16.34,,,,,0.71,,548.46,,,
743,,,,2.18,,68.47,0.51,16.28,,,,,0.85,,547.19,,,
743.5,,,,2.21,,63.65,0.43,15.83,,,,,0.82,,545.97,,,
744,,,,2.38,,57.83,0.49,16.23,,,,,0.38,,544.67,,,
744.5,,,,2.24,,53.74,0.52,16.2,,,,,0.51,,542.77,,,
745,,,,2,,52.66,0.4,14.5,,,,,0.66,,539.41,,,
745.5,,,,2,,53.25,0.38,4.07,,,,,0.46,,533.14,,,
746,,,,2.38,,54.14,0.38,3.66,,,,,1.51,,522.06,,,
746.5,,,,2.64,,55.87,0.44,3.75,,,,,7.8,,506.73,,,
747,,,,2.44,,58.54,0.39,4.3,,,,,5.39,,490.26,,,
747.5,,,,2.45,,61.31,0.31,4.12,,,10.58,7.39,5.65,93.12,474.4,,,
748,9.21,,,2.46,,64.56,0.3,4.18,,,11.99,9.57,6.42,96.39,459.05,,,
748.5,9.25,,,2.46,,68.49,0.31,4.29,,,10.14,9.46,6.46,98.45,444.9,,,
749,1.51,,,2.46,,71.16,0.31,4.49,,,8.92,8.86,6.3,97.61,432.6,,,
749.5,9.39,,,2.47,,71.95,0.33,4.29,,,9.58,8.84,6.51,94.13,421.99,,,
750,9.46,,,2.47,,73.19,0.34,3.83,,,11.03,9.63,5.05,89.81,413.3,,,
